SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
352440.0,2,31.0,3,4,3,5,2,0,1,4
352255.0,1,26.0,2,2,1,5,2,1,0,0
351253.0,2,31.0,4,5,5,4,2,0,1,1
352222.0,1,45.0,5,4,2,4,2,1,1,10
352796.0,2,87.0,3,2,2,4,2,1,0,0
350671.0,1,47.0,4,4,4,5,2,1,0,0
350403.0,1,68.0,2,4,2,5,2,1,0,0
351451.0,2,62.0,2,2,2,5,2,1,1,8
352202.0,1,31.0,2,2,2,4,2,1,1,9
351885.0,1,59.0,3,3,4,5,2,1,1,7
350046.0,1,44.0,2,3,3,5,2,1,1,1
351917.0,1,29.0,2,2,2,4,2,1,1,5
350849.0,1,42.0,2,4,2,5,2,1,1,8
351612.0,1,55.0,2,2,4,4,2,1,1,5
350350.0,2,42.0,2,4,3,5,2,1,1,3
351351.0,2,44.0,3,2,2,5,2,1,1,3
352781.0,2,54.0,4,4,4,5,2,1,1,8
351030.0,2,22.0,4,4,4,4,2,1,1,5
352073.0,2,30.0,2,2,3,5,2,1,1,0
350134.0,2,75.0,4,4,4,4,2,1,0,0
350306.0,1,45.0,2,4,3,5,2,1,0,0
352872.0,1,59.0,2,1,2,1,2,1,1,3
351145.0,2,56.0,3,4,3,4,2,1,0,0
350150.0,2,77.0,2,2,2,5,2,1,0,0
350130.0,1,69.0,2,2,2,4,2,1,0,0
352859.0,1,24.0,2,2,3,5,2,1,1,0
351425.0,1,48.0,5,5,5,4,2,1,1,8
350083.0,2,27.0,2,2,2,5,2,1,1,6
351837.0,2,34.0,4,4,5,4,2,1,0,0
350784.0,2,41.0,3,3,4,5,2,1,0,0
352152.0,1,23.0,2,2,4,5,2,1,1,5
350215.0,2,38.0,4,4,4,5,2,1,1,5
352427.0,2,81.0,2,2,2,5,2,1,0,0
350031.0,2,78.0,3,3,3,5,2,1,0,0
351821.0,1,26.0,1,4,5,4,2,1,1,4
352590.0,2,62.0,3,3,2,5,2,1,0,0
351763.0,2,53.0,3,3,4,5,2,1,1,3
350160.0,2,42.0,2,2,4,5,2,1,1,1
351111.0,2,59.0,3,3,3,4,2,1,0,0
351006.0,2,62.0,2,4,4,5,2,1,1,10
350694.0,2,72.0,4,4,4,4,2,1,0,0
352034.0,1,42.0,3,3,3,5,2,1,1,7
350657.0,1,71.0,4,4,4,5,2,1,0,0
352741.0,2,80.0,3,3,3,4,2,1,0,0
351559.0,1,36.0,2,4,3,5,1,1,1,10
351311.0,2,59.0,3,3,3,5,1,1,1,2
351756.0,2,51.0,2,4,3,4,1,1,1,9
350646.0,1,68.0,3,3,3,5,1,1,0,0
350248.0,1,55.0,2,2,2,5,1,1,1,9
350393.0,2,59.0,2,2,2,5,1,1,1,4
352747.0,1,84.0,3,3,3,5,1,1,0,0
352771.0,2,42.0,3,3,4,5,1,1,1,3
350764.0,1,51.0,4,4,4,4,1,1,1,10
352604.0,1,61.0,1,1,1,5,1,1,1,6
352827.0,1,52.0,3,2,2,4,1,1,1,6
350380.0,1,69.0,3,3,3,5,1,1,0,0
350913.0,2,62.0,4,2,2,5,1,1,0,0
351749.0,1,66.0,3,5,3,5,1,1,0,0
352075.0,2,67.0,3,3,3,4,1,1,0,0
351386.0,2,23.0,2,2,4,4,1,1,0,0
350660.0,2,43.0,3,3,4,5,1,1,1,3
351417.0,1,51.0,2,2,2,5,1,1,1,8
352687.0,2,20.0,4,2,4,5,1,1,1,2
350262.0,2,67.0,3,2,3,5,1,1,0,0
350567.0,1,40.0,2,2,2,5,1,1,0,0
350300.0,2,34.0,3,2,2,4,1,1,1,5
351218.0,1,22.0,2,1,2,5,1,1,0,0
351009.0,2,39.0,2,1,4,5,1,1,1,5
350142.0,2,41.0,2,2,4,5,1,1,1,2
352798.0,1,65.0,3,1,3,5,1,1,0,0
350707.0,1,52.0,2,2,2,5,1,1,1,10
352838.0,2,48.0,3,2,4,4,1,1,1,4
350697.0,1,69.0,2,2,1,5,1,1,0,0
351050.0,2,45.0,5,5,5,5,1,0,1,8
352258.0,2,34.0,3,4,5,4,1,1,1,9
350245.0,2,74.0,3,4,3,5,1,0,0,0
350135.0,2,37.0,3,3,3,5,1,1,1,9
352672.0,2,35.0,2,4,4,5,1,1,1,3
350355.0,2,64.0,4,4,4,5,1,1,0,0
352795.0,2,81.0,3,2,3,5,1,1,0,0
350032.0,1,27.0,2,2,2,5,1,1,1,9
351601.0,2,25.0,2,2,2,5,1,1,1,5
350550.0,1,56.0,2,4,3,5,1,1,1,6
350291.0,2,69.0,4,4,4,5,1,1,0,0
350084.0,2,60.0,1,2,2,2,1,1,1,1
352585.0,2,67.0,3,3,3,5,1,1,0,0
351789.0,1,45.0,3,3,5,5,1,1,1,10
350096.0,1,62.0,2,2,2,5,1,1,1,10
351871.0,1,37.0,4,4,3,5,1,1,1,10
352569.0,2,81.0,4,2,0,5,1,1,0,0
352612.0,2,73.0,4,3,4,5,1,1,0,0
351537.0,2,48.0,3,2,3,5,1,1,0,0
350075.0,2,60.0,3,2,4,5,1,1,0,0
352169.0,1,41.0,2,4,2,4,1,1,0,0
350710.0,1,59.0,4,4,4,4,1,1,1,10
350612.0,2,81.0,2,2,2,5,1,1,0,0
351969.0,2,52.0,4,4,0,4,1,1,1,8
351372.0,2,75.0,2,2,2,5,1,1,0,0
350972.0,1,19.0,5,3,3,4,1,1,0,0
350593.0,2,44.0,4,2,2,5,1,1,0,0
352659.0,2,34.0,2,1,4,5,1,1,1,8
352366.0,1,65.0,4,4,4,5,1,1,0,0
351572.0,2,64.0,5,4,3,4,1,1,0,0
350136.0,2,68.0,3,4,3,5,1,1,0,0
352641.0,1,38.0,3,4,3,5,1,1,1,10
350220.0,2,48.0,1,4,4,5,1,1,1,3
351561.0,1,44.0,3,3,4,5,1,1,1,6
352284.0,1,54.0,4,3,4,5,1,1,1,10
350843.0,2,56.0,2,3,4,5,1,1,0,0
352297.0,1,72.0,3,3,3,4,1,1,0,0
350359.0,2,45.0,2,2,2,5,1,1,0,0
352031.0,1,70.0,3,4,3,4,1,1,1,8
351776.0,2,69.0,3,2,3,5,1,1,0,0
352129.0,2,39.0,2,2,4,4,1,1,1,3
352575.0,2,81.0,3,4,4,4,1,1,0,0
351201.0,2,20.0,2,2,4,4,1,1,1,2
350528.0,2,71.0,4,4,4,4,1,1,0,0
351961.0,1,54.0,3,2,2,5,1,1,1,10
351224.0,1,59.0,2,2,2,5,1,1,0,0
351115.0,1,43.0,5,5,4,5,1,1,1,9
352098.0,2,60.0,3,2,2,3,1,1,0,0
351618.0,1,60.0,2,2,4,4,1,1,0,0
351637.0,2,30.0,3,3,3,4,1,1,1,4
352764.0,1,54.0,3,4,4,5,1,1,1,3
350644.0,2,48.0,4,2,5,5,1,1,1,5
351596.0,2,76.0,4,4,2,5,1,0,0,0
351854.0,1,69.0,3,3,3,4,1,1,0,0
352243.0,2,41.0,3,3,4,5,1,1,1,8
350105.0,2,27.0,4,4,5,5,1,1,1,6
351887.0,2,63.0,5,5,5,5,1,1,0,0
350421.0,1,26.0,1,1,3,5,1,1,1,0
350906.0,2,34.0,4,3,4,5,1,1,1,5
350998.0,2,80.0,3,4,3,5,1,1,0,0
351619.0,2,29.0,2,3,3,5,1,1,1,5
352623.0,1,59.0,4,5,3,5,1,1,1,10
351230.0,2,74.0,4,4,3,5,1,1,0,0
351140.0,2,44.0,5,4,5,5,1,1,1,9
351547.0,1,56.0,2,3,3,5,1,1,1,4
352748.0,1,84.0,4,5,4,4,1,1,0,0
352579.0,1,61.0,2,3,3,4,1,1,0,0
351286.0,2,61.0,5,5,4,4,1,1,0,0
352589.0,2,36.0,3,4,4,5,1,1,1,4
352647.0,2,69.0,4,4,4,5,1,1,1,4
352573.0,1,38.0,1,4,2,5,1,1,1,10
352094.0,2,72.0,3,4,3,5,1,1,0,0
352540.0,2,56.0,4,4,3,4,1,1,0,0
350388.0,1,29.0,3,2,3,5,1,1,0,0
350599.0,1,50.0,2,3,2,5,1,1,0,0
352581.0,1,88.0,3,4,3,4,1,1,0,0
352143.0,2,28.0,3,4,3,5,1,1,1,4
352405.0,1,44.0,1,4,3,5,1,0,1,7
352424.0,1,36.0,4,4,2,5,1,1,1,10
352716.0,1,39.0,5,4,4,5,1,0,1,6
352032.0,1,94.0,2,2,1,5,1,1,0,0
352610.0,1,32.0,3,2,4,5,3,1,0,0
352803.0,1,57.0,3,2,3,5,3,1,0,0
352103.0,1,64.0,2,3,3,5,3,1,0,0
352365.0,2,67.0,3,4,2,5,3,1,0,0
352380.0,2,33.0,3,4,5,5,3,1,1,3
350131.0,2,84.0,4,4,4,5,3,1,0,0
350719.0,1,53.0,2,2,4,5,3,1,0,0
350688.0,2,54.0,4,4,4,4,3,0,1,5
351904.0,1,84.0,2,4,3,5,3,1,0,0
352718.0,1,69.0,2,4,2,5,3,1,0,0
352640.0,2,44.0,1,2,2,5,3,1,1,3
351052.0,1,53.0,4,2,4,4,3,1,1,5
351012.0,1,72.0,2,2,2,5,3,1,0,0
352504.0,2,73.0,2,2,3,5,3,1,0,0
350517.0,2,57.0,2,2,3,5,3,1,1,7
350895.0,2,84.0,3,4,3,1,3,0,0,0
350804.0,2,28.0,3,4,5,5,3,1,0,0
351585.0,2,32.0,3,3,3,5,3,1,0,0
351726.0,1,19.0,3,4,5,4,3,1,0,0
351290.0,2,66.0,2,4,5,3,3,1,0,0
352307.0,2,65.0,1,2,1,5,1,1,0,0
351001.0,2,47.0,4,3,5,5,1,1,1,9
352609.0,2,35.0,2,4,4,5,1,1,1,6
351599.0,1,53.0,5,4,4,5,1,1,1,10
351608.0,2,46.0,3,3,4,5,1,1,1,3
352057.0,2,37.0,2,3,4,5,1,1,1,3
351053.0,2,72.0,2,4,2,3,1,1,0,0
351591.0,1,26.0,4,2,3,4,1,1,1,4
350416.0,1,70.0,3,4,4,2,1,1,0,0
351247.0,1,55.0,5,3,3,3,1,1,1,7
352241.0,1,88.0,4,2,2,4,1,1,0,0
351072.0,2,69.0,1,5,1,5,1,1,0,0
352109.0,2,68.0,3,4,3,5,1,1,0,0
350818.0,1,73.0,2,2,2,5,1,1,0,0
352606.0,1,54.0,2,3,3,4,1,1,1,10
350967.0,1,84.0,3,4,5,5,1,0,0,0
351946.0,2,24.0,3,2,4,5,1,1,1,5
351780.0,1,32.0,2,2,2,5,1,1,0,0
351998.0,2,55.0,2,3,3,5,1,1,1,4
350494.0,2,29.0,4,3,2,5,1,1,0,0
352317.0,2,68.0,4,3,3,5,1,1,0,0
352825.0,2,54.0,3,5,5,5,1,1,1,4
351422.0,1,85.0,1,2,3,4,1,1,0,0
351358.0,2,58.0,5,3,2,4,1,1,1,2
351989.0,2,52.0,3,2,2,5,1,1,1,10
351812.0,2,60.0,3,2,2,5,1,1,0,0
350957.0,1,41.0,2,2,2,5,1,1,1,4
352423.0,2,67.0,1,4,3,5,1,1,0,0
352682.0,2,59.0,2,4,4,5,1,1,1,3
351770.0,2,60.0,2,2,2,4,1,1,0,0
352279.0,1,67.0,2,2,2,5,1,1,0,0
350783.0,2,41.0,4,4,5,5,1,1,0,0
352232.0,1,53.0,4,5,3,5,1,1,1,8
351979.0,2,29.0,2,2,3,5,1,1,1,7
351301.0,2,68.0,3,2,2,5,1,1,1,10
351092.0,1,58.0,3,3,3,3,1,1,1,0
352106.0,1,73.0,3,4,4,5,1,0,0,0
352621.0,2,37.0,3,2,3,5,1,1,0,0
352861.0,2,49.0,3,3,3,5,1,1,0,0
